"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/19/2012 12:00:00 AM,72.0600,,"Monograms","","","","","716 E Atlantic bld","","pompano beach","fl","33060","MON","supply",
4/24/2012 12:00:00 AM,275.0000,,"community reach & youth ","","","","","401 rosemary ","","west palm  beach","fl","33401","MON","supply",
4/24/2012 12:00:00 AM,200.0000,,"Terry Scott","","","","","100 se 7th Street","","Deerfield Beach","fl","33441","MON","voter information",
5/12/2012 12:00:00 AM,365.6900,,"Broward Flyers ","","","","","800 W. Oakland Park Blvd ","suite 301","Wilton Manors ","FL","33311","MON","campaign supply",
5/15/2012 12:00:00 AM,75.0000,,"Jenetta Smith","","","","","900 larrimore Road","","pahokee","fl","33476","MON","campaign supply",
6/28/2012 12:00:00 AM,1545.5500,,"","Samuel ","","Thompson","Mr","106 Swan Parkway East","","Royal Palm Beach","fl","33411","REF","repayment of loan",
4/26/2012 12:00:00 AM,64.0000,,"community reach & youth","","","","","401 rosemary","","west palm beach","fl","33401","MON","supply",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
2/23/2012 12:00:00 AM,54.0000,,"PBC Supervisor of Election","","","","","240 S Military Trail","","West Palm Beach ","fL","33415","PCS","Campaign CD",
2/1/2012 12:00:00 AM,10.0000,,"Suntrust","","","","","P.O Box 622227","","Orlando ","FL","32862","PCS","ckh orders",
3/10/2012 12:00:00 AM,47.7000,,"Fed EX Office","","","","","1464 S Federal Hwy","","Deerfield Beach","FL","33441","MON","supplies",
2/20/2012 12:00:00 AM,545.9000,,"Union printing","","","","","2321 Pembroke Road","","Hollywood ","FL","33020","MON","supplies",
2/29/2012 12:00:00 AM,1000.0000,,"Insider grass-roots/Terry Scott","","","","","100 S.E. 7th Street","","Deerfield Beach","FL","33441","MON","reimbursement/supplies",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
2/29/2012 12:00:00 AM,1000.0000,"DEL","Insider grass-roots/Terry Scott","","","","","100 S.E. 7th Street","","Deerfield Beach","FL","33441","MON","reimbursement/suppli",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/20/2012 12:00:00 AM,1000.0000,"ADD","Insider grass-roots","","","","","100 SE 7th Street","","Deerfield Beach","FL","33441","MON","supply",
