"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/19/2013 12:00:00 AM,54.0600,,"Go Daddy ","","","","","14455 N. Hayden Rd. Suite 219","","Scottsdale","AZ","85260","MON","website",
9/3/2013 12:00:00 AM,397.5000,,"Print America","","","","","1286 N. Military Trail","","West Palm Beach","FL","33409","MON","printing",
9/4/2013 12:00:00 AM,148.0000,,"United States Postal Service","","","","","640 CLEMATIS ST ","","West Palm Beach","FL","33401","MON","Post Office Box",
9/18/2013 12:00:00 AM,1800.0000,,"Democratic Party of Palm Beach County","","","","","Crexent Center, 8401 Lake Wort","#132","Lake Worth","FL","33467","MON","TKJ Dinner Tickets",
9/19/2013 12:00:00 AM,108.6900,,"Wells Fargo Bank","","","","","303 Banyan Blvd","","West Palm Beach","FL","33401","MON","checks",
9/25/2013 12:00:00 AM,125.0000,,"Hispanic Human Resources Coucil","","","","","1427 S Congress Ave","","West Palm Beach","FL","33406","MON","event ticket",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
9/19/2013 12:00:00 AM,108.6900,"DEL","Wells Fargo Bank","","","","","303 Banyan Blvd","","West Palm Beach","FL","33401","MON","checks",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/1/2013 12:00:00 AM,111.0100,,"Print America","","","","","1286 N. Military Trail","","West Palm Beach","FL","33409","MON","printing",
10/1/2013 12:00:00 AM,23.3200,,"Print America","","","","","1286 N. Military Trail","","West Palm Beach","FL","33409","MON","printing",
10/4/2013 12:00:00 AM,63.8000,,"Print America","","","","","1286 N. Military Trail","","West Palm Beach","AZ","33409","MON","printing",
10/4/2013 12:00:00 AM,13.7700,,"Office Max","","","","","4242 Northlake Blvd.","","Palm Beach Gardens","FL","33410","MON","office supplies",
10/18/2013 12:00:00 AM,387.9600,,"Print America","","","","","1286 N. Military Trail","","West Palm Beach","FL","33409","MON","printing",
10/21/2013 12:00:00 AM,99.0000,,"Cypress Lakes Democratic Club","","","","","3445 Cypress Trail West","","West Palm Beach","FL","33417","MON","colation",
10/21/2013 12:00:00 AM,160.0000,,"Cypress Lakes Democratic Club","","","","","3445 Cypress Trail West","","West Palm Beach","FL","33417","MON","tickets",
10/25/2013 12:00:00 AM,54.0000,,"Robin Rance Hoffman","","","","","1607 16th Terrace","","Palm Beach Gardens","FL","33418","MON","postage",
10/28/2013 12:00:00 AM,-99.0000,,"Wells Fargo Bank","","","","","303 Banyan Blvd","","West Palm Beach","FL","33401","MON","Bankcard Fee correction",
10/24/2013 12:00:00 AM,45.0000,,"Palm Beach County Hotel & Lodging Association","","","","","1392 North Killian Drive","","Lake Park","FL","33403","MON","ticket",
10/29/2013 12:00:00 AM,250.0000,,"Human Rights Council of PBC","","","","","P.O. Box 267","","West Palm Beach","FL","33401","MON","journal advertisement",
10/24/2013 12:00:00 AM,200.0000,,"Habitat for Humanity","","","","","6758 Military Trail","","West Palm Beach","FL","33406","MON","tickets",
10/29/2013 12:00:00 AM,100.0000,,"Lake Worth West Democratic Club","","","","","3820 S. 55th Avenue","","Greenacres","FL","33463","MON","Salute to Veterans",
10/1/2013 12:00:00 AM,-108.6900,,"Wells Fargo Bank","","","","","303 Banyan Blvd","","West Palm Beach","FL","33401","MON","printing -credit",
10/15/2013 12:00:00 AM,100.0000,,"Mental Health Association of PBC","","","","","909 Fern Street","","West Palm Beach","FL","33401","MON","tickets",
10/10/2013 12:00:00 AM,99.0000,,"Wells Fargo Bank","","","","","303 Banyan Blvd","","West Palm Beach","FL","33401","MON","Bankcard Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
11/4/2013 12:00:00 AM,30.0000,,"Democratic Club of Grt Boynton Beach","","","","","PO Box 742024","","Boynton Beach","FL","33474","MON","dues",
11/5/2013 12:00:00 AM,60.0000,,"Proactive Residents Action Committee","","","","","105 Somerset F #1050","","West Palm Beach","FL","33417","MON","tickets",
11/7/2013 12:00:00 AM,30.0000,,"Chamber of Commerce of the Palm Beaches","","","","","401 N Flagler Dr","","West Palm Beach","FL","33401","MON","ticket",
11/12/2013 12:00:00 AM,25.0000,,"Robin Rance Hoffman","","","","","1607 16th Ter","","Palm Beach Gardens","FL","33418","MON","postage",
11/12/2013 12:00:00 AM,75.7600,,"Staples","","","","","260 Northlake Blvd.","","Lake Park","FL","33403","MON","office supplies",
