"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
10/24/2013 12:00:00 AM,69.0000,,"Bank of America","","","","","P. O. Box 15284","","Wilmington","DE","19850","MON","Service Fees/Check Order Fee",
10/31/2013 12:00:00 AM,1000.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Campaign Consultant",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
11/12/2013 12:00:00 AM,198.2700,,"Preferred Printing & Graphics #2","","","","","791 Northlake Blvd.","","North Palm Beach","FL","33408","MON","Remittance  Envelopes",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
12/26/2013 12:00:00 AM,43.9900,,"Preferred Printing & Graphics #2","","","","","791 Northlake Blvd.","","North Palm Beach","FL","33408","MON","Printing/Business Cards",
12/14/2013 12:00:00 AM,25.0000,,"BSE Design & Communications","","","","","178 Seashore Drive","","Jupiter ","FL","33477","MON","Artwork/Layout",
12/14/2013 12:00:00 AM,50.0000,,"BSE Design & Communications","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Artwork/Layout",
12/14/2013 12:00:00 AM,2000.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consulting",
12/11/2013 12:00:00 AM,300.0000,,"Duffy's Sports Grill","","","","","Village Commons Plaza","721 Village Blvd.","West Palm Beach","FL","33409","MON","Campaign Fundraiser",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
1/18/2014 12:00:00 AM,300.0000,,"Payne Chapel A.M.E. Church","","","","","801 9th Street","","West Palm Beach","FL","33401","MON","Church Anniversary Ad",
1/21/2014 12:00:00 AM,1200.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consultant Fee",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
2/27/2014 12:00:00 AM,1200.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consultant",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
3/30/2014 12:00:00 AM,1200.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consultant",
3/31/2014 12:00:00 AM,75.0000,,"BSE Design & Communication","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Artwork/Layout",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
4/28/2014 12:00:00 AM,1200.0000,,"Patriot Games, Inc.","","","","","120 S. Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consulting",
4/30/2014 12:00:00 AM,100.0000,,"BSE Design & Communications","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Artwork/Layout",
4/30/2014 12:00:00 AM,75.0000,,"BSE Design & Communications","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Artwork/Layout",
"ExpenditureDate","ExpenditureAmount","AmendmentType","EntityName","FirstName","MiddleName","LastName","NameSuffix","Address1","Address2","City","State","Zip","ExpenditureType","PurposeOfExpense",
5/15/2014 12:00:00 AM,572.0000,,"Banyan Tree Restaurant","","","","","1525 North West Ave L","","Belle Glade","FL","33430","MON","Meet and Greet",
5/31/2014 12:00:00 AM,50.0000,,"BSE Design & Communications","","","","","178 Seashore Drive","","Jupiter","FL","33477","MON","Artwork/Layout",
5/16/2014 12:00:00 AM,130.9700,,"Preferred Printing & Graphics","","","","","791 Northlake Blvd.","","North Palm Beach","FL","33408","MON","Printing Envelopes and Invitations ",
5/31/2014 12:00:00 AM,1200.0000,,"Patriot Games, Inc.","","","","","120 South Dixie Highway","Suite 202","West Palm Beach","FL","33401","MON","Consulting",
5/30/2014 12:00:00 AM,3.2000,,"PayPal","","","","","P.O. Box 45950","","Omaha","Ne","68145","MON","PayPal Fee",
